,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
234,Lunzua,Hydro,,PP,ZM,14.8,,,0,0,0,1960,1960,2060,-8.88,31.15,,,
235,Musonda Falls,Hydro,Reservoir,PP,ZM,110,,,0,0,0,1960,1960,2060,-10.7,28.8,,,
236,Lunsemfwa,Hydro,Run-Of-River,PP,ZM,18,,,0,0,0,1964,1964,2064,-14.5,29.11,,,
245,Chiumbe Dala,Hydro,Run-Of-River,PP,AO,26,,,0,0,0,2000,2000,2100,-11.01666667,20.2,,,
246,Calueque,Hydro,Run-Of-River,PP,AO,10.5,,,0,0,0,2000,2000,2100,-17.26666667,14.53333333,,,
247,Talihya-Nord 1,Hydro,,PP,CD,13.8,,,0,0,0,2000,2000,2100,0.1,29.4,,,
248,Kakobola,Hydro,,PP,CD,9,,,0,0,0,2000,2000,2100,-5.616666667,19.05,,,
249,Kalule Lubudi,Hydro,,PP,CD,2,,,0,0,0,2000,2000,2100,-9.95,25.9,,,
250,Mugombe,Hydro,,PP,CD,1.6,,,0,0,0,2000,2000,2100,-3.166666667,28.16666667,,,
251,Khubedu,Hydro,,PP,LS,4.9,,,0,0,0,2000,2000,2100,-29.23333333,28.88333333,,,
252,Ruo-Ndiza,Hydro,,PP,MW,5.2,,,0,0,0,2000,2000,2100,-16.08333333,35.65,,,
253,Wovwe,Hydro,Run-Of-River,PP,MW,4.4,,,0,0,0,2000,2000,2100,-10.43333333,34.08333333,,,
254,Lydenburg,Hydro,Run-Of-River,PP,ZA,5,,,0,0,0,2000,2000,2100,-25,30.43333333,,,
255,Kouga dam,Hydro,Reservoir,PP,ZA,8,,,0,0,0,2000,2000,2100,-33.68333333,24.5,,,
256,Tulila,Hydro,Reservoir,PP,TZ,20,,,0,0,0,2000,2000,2100,-11.08333333,35.26666667,,,
257,Tosamaganga,Hydro,,PP,TZ,6.3,,,0,0,0,2000,2000,2100,-7.833333333,35.58333333,,,
258,Pungwe hauna,Hydro,Run-Of-River,PP,ZW,30,,,0,0,0,2000,2000,2100,-18.41666667,32.83333333,,,
259,Kupinga,Hydro,Run-Of-River,PP,ZW,4.2,,,0,0,0,2000,2000,2100,-20.05,32.8,,,
